"filename", "language", "C++", "CMake", "Swift", "XML", "JSON", "HTML", "Markdown", "Dart", "YAML", "Gradle", "Java Properties", "comment", "blank", "total"
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 7, 17
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 22, 4, 32
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 6, 10, 74
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\app\google-services.json", "JSON", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 49
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 11, 1, 46
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 4, 1, 11
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 2, 5, 29
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\firebase.json", "JSON", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 12, 5, 79
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\login_services\auth_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\login_services\login_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 175, 0, 0, 0, 4, 14, 193
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 2, 4, 37
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\cms_settings\cms_settings.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 4, 8, 124
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\cms_settings\cms_settings_widget\branch_management.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 1, 4, 75
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\cms_settings\cms_settings_widget\current_user_info.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 1, 4, 100
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\cms_settings\cms_settings_widget\help_support.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 1, 4, 127
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\cms_settings\cms_settings_widget\others.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 1, 4, 133
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\cms_settings\cms_settings_widget\system_management.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 1, 4, 147
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\cms_settings\management\admin_management.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 196, 0, 0, 0, 9, 15, 220
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\cms_settings\management\branch_management.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 283, 0, 0, 0, 4, 13, 300
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\cms_settings\management\user_management.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\home\analytics\analytics_parcel copy.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 1, 5, 74
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\home\analytics\analytics_parcel.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 4, 10, 132
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\home\carousel_services\carousel.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\home\carousel_services\carousel_adder.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 4, 14, 133
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\home\carousel_services\carousel_viewer.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 149, 0, 0, 0, 3, 11, 163
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\home\home.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 0, 4, 5, 191
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\loyalty_prog\loyalty_prog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 6, 11, 137
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\notification_tester\notification_tester.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 7, 14, 95
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\out_for_delivery\out_for_delivery.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 2, 5, 45
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\parcel_inventory\parcel_inventory.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 3, 26, 284
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\parcel_inventory\parcel_inventory_detail.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 376, 0, 0, 0, 8, 12, 396
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\parcel_management\check_in_parcel\check_in_parcel.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 360, 0, 0, 0, 12, 20, 392
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\parcel_management\check_out_parcel\check_out_parcel.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 357, 0, 0, 0, 2, 25, 384
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\search_inventory\search_inventory.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 630, 0, 0, 0, 5, 19, 654
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\search_user\search_user.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 220, 0, 0, 0, 2, 21, 243
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\src\navigator\navigator_sevices.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 0, 0, 8, 189
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\src\postalhub_ui.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 3, 3, 103
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\src\responsive_layout.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\linux\CMakeLists.txt", "CMake", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 146
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\linux\flutter\CMakeLists.txt", "CMake", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\linux\flutter\generated_plugin_registrant.cc", "C++", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 24
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\linux\flutter\generated_plugins.cmake", "CMake", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\linux\my_application.cc", "C++", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 26, 125
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 35
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 0, 1, 344
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 3, 9, 57
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 10, 7, 31
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\web\index.html", "HTML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 15, 5, 39
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\web\manifest.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\CMakeLists.txt", "CMake", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\flutter\CMakeLists.txt", "CMake", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\flutter\generated_plugin_registrant.cc", "C++", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 36
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\flutter\generated_plugins.cmake", "CMake", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\runner\CMakeLists.txt", "CMake", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 575, 465, 74, 479, 338, 19, 13, 4832, 51, 96, 8, 351, 666, 7967